Id;FirstName;LastName;FullName;JobTitle;JobType;Email;Gender;HourlyRate;EmploymentType
60;Barbara;Denesik;Barbara Denesik;Future Tactics Specialist;Supervisor;Barbara2@gmail.com;Female;9;FullTime
61;Cathy;Bergstrom;Cathy Bergstrom;District Group Coordinator;Manager;Cathy.Bergstrom19@hotmail.com;Male;11;FullTime
62;Ralph;Hackett;Ralph Hackett;Chief Implementation Strategist;Supervisor;Ralph_Hackett85@gmail.com;Female;20;HalfTime
63;Vivian;Zulauf;Vivian Zulauf;Customer Accounts Coordinator;Facilitator;Vivian.Zulauf@yahoo.com;Male;10;HalfTime
64;Derek;Swift;Derek Swift;Investor Factors Assistant;Designer;Derek_Swift8@yahoo.com;Male;10;FullTime
65;Geraldine;Feest;Geraldine Feest;Senior Operations Technician;Supervisor;Geraldine99@hotmail.com;Female;13;FullTime
66;Naomi;McClure;Naomi McClure;Chief Accounts Director;Assistant;Naomi70@yahoo.com;Male;9;FullTime
67;Helen;Mosciski;Helen Mosciski;Lead Communications Technician;Facilitator;Helen_Mosciski72@hotmail.com;Male;19;HalfTime
68;Adam;Emard;Adam Emard;Global Response Designer;Developer;Adam_Emard64@gmail.com;Female;17;FullTime
69;Todd;Watsica;Todd Watsica;Forward Brand Facilitator;Technician;Todd_Watsica@gmail.com;Female;6;FullTime
70;Everett;Green;Everett Green;Product Accountability Assistant;Engineer;Everett_Green@yahoo.com;Female;18;HalfTime
71;Jonathan;Murazik;Jonathan Murazik;Dynamic Operations Administrator;Executive;Jonathan.Murazik@gmail.com;Male;12;FullTime
72;Philip;Ryan;Philip Ryan;Chief Branding Agent;Planner;Philip30@yahoo.com;Female;19;HalfTime
73;Erica;Bashirian;Erica Bashirian;Human Accounts Representative;Representative;Erica57@hotmail.com;Female;13;FullTime
74;Jean;Lubowitz;Jean Lubowitz;Senior Brand Producer;Architect;Jean22@hotmail.com;Female;19;FullTime
75;Leah;Medhurst;Leah Medhurst;International Infrastructure Producer;Analyst;Leah47@hotmail.com;Male;5;FullTime
76;Kenneth;Pollich;Kenneth Pollich;Regional Functionality Director;Director;Kenneth88@gmail.com;Male;17;HalfTime
77;Kristopher;Wunsch;Kristopher Wunsch;District Branding Technician;Technician;Kristopher_Wunsch@hotmail.com;Female;20;HalfTime
78;Delia;Schinner;Delia Schinner;Product Communications Representative;Architect;Delia.Schinner58@gmail.com;Male;6;FullTime
79;Ida;Langosh;Ida Langosh;International Tactics Producer;Coordinator;Ida.Langosh18@gmail.com;Female;19;HalfTime
80;Toby;Turcotte;Toby Turcotte;Regional Division Administrator;Planner;Toby18@yahoo.com;Female;12;FullTime
81;Rudy;Block;Rudy Block;Regional Factors Assistant;Manager;Rudy.Block@yahoo.com;Female;13;HalfTime
82;Maryann;Will;Maryann Will;Central Functionality Engineer;Liaison;Maryann88@hotmail.com;Female;11;HalfTime
83;Mae;Schmitt;Mae Schmitt;Corporate Creative Engineer;Supervisor;Mae94@hotmail.com;Female;10;HalfTime
84;Kent;Moen;Kent Moen;National Mobility Analyst;Coordinator;Kent_Moen95@hotmail.com;Female;9;FullTime
85;Casey;Reichel;Casey Reichel;Lead Data Planner;Engineer;Casey.Reichel84@hotmail.com;Female;18;FullTime
86;Dewey;Gottlieb;Dewey Gottlieb;Chief Branding Administrator;Producer;Dewey91@gmail.com;Male;5;FullTime
87;Ben;Rosenbaum;Ben Rosenbaum;Human Branding Associate;Assistant;Ben0@yahoo.com;Male;6;FullTime
88;Olive;Kunde;Olive Kunde;Investor Quality Analyst;Supervisor;Olive.Kunde48@gmail.com;Female;7;FullTime
89;Amanda;Bergnaum;Amanda Bergnaum;National Integration Liaison;Strategist;Amanda_Bergnaum@gmail.com;Male;10;HalfTime
90;Jermaine;Kuhn;Jermaine Kuhn;Future Interactions Liaison;Orchestrator;Jermaine_Kuhn12@hotmail.com;Female;11;FullTime
91;Brandi;McClure;Brandi McClure;Direct Interactions Engineer;Manager;Brandi.McClure@gmail.com;Male;19;FullTime
92;Ollie;Stoltenberg;Ollie Stoltenberg;Corporate Group Officer;Coordinator;Ollie_Stoltenberg@gmail.com;Female;8;HalfTime
93;Inez;Leannon;Inez Leannon;Regional Factors Architect;Director;Inez87@yahoo.com;Male;20;FullTime
94;Edwin;Price;Edwin Price;International Identity Specialist;Coordinator;Edwin.Price@gmail.com;Female;20;HalfTime
95;Colin;Muller;Colin Muller;Investor Data Administrator;Administrator;Colin.Muller@hotmail.com;Female;17;HalfTime
96;Rick;Hane;Rick Hane;Forward Creative Analyst;Specialist;Rick_Hane47@hotmail.com;Female;5;HalfTime
97;Ken;Block;Ken Block;Dynamic Security Producer;Architect;Ken25@gmail.com;Male;17;FullTime
98;Brett;Schulist;Brett Schulist;Customer Implementation Director;Executive;Brett70@gmail.com;Female;12;FullTime
99;Terri;Zulauf;Terri Zulauf;Customer Quality Planner;Executive;Terri.Zulauf@gmail.com;Female;5;HalfTime

